subject_slug,topic_id,question_count,difficulty_mix,source_layers,source_files
igcse-accounting-0452,5.1,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/5-1-items.md;qa-question-level/5-1-income-statement-q-5.1-01.md;qa-question-level/5-1-income-statement-q-5.1-02.md;qa-question-level/5-1-income-statement-q-5.1-03.md;qa-question-level/5-1-income-statement-q-5.1-04.md;qa-question-level/5-1-income-statement-q-5.1-05.md;qa-question-level/5-1-income-statement-q-5.1-06.md;qa-question-level/5-1-income-statement-q-5.1-07.md;qa-question-level/5-1-income-statement-q-5.1-08.md;qa-question-level/5-1-income-statement-q-5.1-09.md;qa/5-1-income-statement-trading.md
igcse-accounting-0452,5.2,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/5-2-items.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-01.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-02.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-03.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-04.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-05.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-06.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-07.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-08.md;qa-question-level/5-2-income-statement-adjustments-q-5.2-09.md;qa/5-2-income-statement-adjustments.md
igcse-accounting-0452,5.3,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/5-3-items.md;qa-question-level/5-3-sofp-q-5.3-01.md;qa-question-level/5-3-sofp-q-5.3-02.md;qa-question-level/5-3-sofp-q-5.3-03.md;qa-question-level/5-3-sofp-q-5.3-04.md;qa-question-level/5-3-sofp-q-5.3-05.md;qa-question-level/5-3-sofp-q-5.3-06.md;qa-question-level/5-3-sofp-q-5.3-07.md;qa-question-level/5-3-sofp-q-5.3-08.md;qa-question-level/5-3-sofp-q-5.3-09.md;qa/5-3-statement-of-financial-position.md
igcse-accounting-0452,5.4,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/5-4-items.md;qa-question-level/5-4-capital-adjustments-q-5.4-01.md;qa-question-level/5-4-capital-adjustments-q-5.4-02.md;qa-question-level/5-4-capital-adjustments-q-5.4-03.md;qa-question-level/5-4-capital-adjustments-q-5.4-04.md;qa-question-level/5-4-capital-adjustments-q-5.4-05.md;qa-question-level/5-4-capital-adjustments-q-5.4-06.md;qa-question-level/5-4-capital-adjustments-q-5.4-07.md;qa-question-level/5-4-capital-adjustments-q-5.4-08.md;qa-question-level/5-4-capital-adjustments-q-5.4-09.md;qa/5-4-capital-adjustments.md
igcse-accounting-0452,5.5,20,C:6|F:8|S:6,"items,qa,qa-question-level",items/5-5-items.md;qa-question-level/Q-5.5-01-partnership-agreement.md;qa-question-level/Q-5.5-02-appropriation-account.md;qa-question-level/Q-5.5-03-interest-on-capital.md;qa-question-level/Q-5.5-04-interest-on-drawings.md;qa-question-level/Q-5.5-05-partner-salaries.md;qa-question-level/Q-5.5-06-current-vs-capital-account.md;qa-question-level/Q-5.5-07-admission-retirement.md;qa-question-level/Q-5.5-08-partnership-vs-sole-trader.md;qa-question-level/Q-5.5-09-comprehensive-appropriation.md;qa/5-5-partnership-accounts-appropriation.md;qa/5-5-partnership-accounts.md
igcse-accounting-0452,5.6,20,C:6|F:8|S:6,"items,qa,qa-question-level",items/5-6-items.md;qa-question-level/Q-5.6-01-limited-company-vs-sole-trader.md;qa-question-level/Q-5.6-02-ordinary-vs-preference-shares.md;qa-question-level/Q-5.6-03-debentures-and-loan-interest.md;qa-question-level/Q-5.6-04-directors-remuneration.md;qa-question-level/Q-5.6-05-corporation-income-tax.md;qa-question-level/Q-5.6-06-company-appropriation-account.md;qa-question-level/Q-5.6-07-income-statement-and-appropriation.md;qa-question-level/Q-5.6-08-published-financial-statements.md;qa-question-level/Q-5.6-09-statement-of-changes-in-equity.md;qa/5-6-limited-companies-financial-statements.md;qa/5-6-limited-companies.md
igcse-accounting-0452,6.1,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/6-1-items.md;qa-question-level/Q-6.1-01-current-ratio.md;qa-question-level/Q-6.1-02-acid-test-ratio.md;qa-question-level/Q-6.1-03-ratio-calculation-and-comment.md;qa-question-level/Q-6.1-04-working-capital-cycle.md;qa-question-level/Q-6.1-05-overtrading-symptoms.md;qa-question-level/Q-6.1-06-liquidity-improvement.md;qa-question-level/Q-6.1-07-trend-analysis.md;qa-question-level/Q-6.1-08-industry-comparison.md;qa-question-level/Q-6.1-09-comprehensive-liquidity.md;qa/6-1-liquidity-ratios.md
igcse-accounting-0452,6.2,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/6-2-items.md;qa-question-level/Q-6.2-01-gross-profit-margin.md;qa-question-level/Q-6.2-02-net-profit-margin.md;qa-question-level/Q-6.2-03-ROCE.md;qa-question-level/Q-6.2-04-markup-vs-margin.md;qa-question-level/Q-6.2-05-ratio-calculation-and-comment.md;qa-question-level/Q-6.2-06-profit-margin-decline.md;qa-question-level/Q-6.2-07-business-comparison.md;qa-question-level/Q-6.2-08-sensitivity-analysis.md;qa-question-level/Q-6.2-09-comprehensive-trend.md;qa/6-2-profitability-ratios.md
igcse-accounting-0452,6.3,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/6-3-items.md;qa-question-level/Q-6.3-01-inventory-turnover.md;qa-question-level/Q-6.3-02-receivables-collection.md;qa-question-level/Q-6.3-03-payables-payment-period.md;qa-question-level/Q-6.3-04-asset-turnover.md;qa-question-level/Q-6.3-05-ratio-calculation-and-comment.md;qa-question-level/Q-6.3-06-receivables-management.md;qa-question-level/Q-6.3-07-trend-analysis.md;qa-question-level/Q-6.3-08-industry-comparison.md;qa-question-level/Q-6.3-09-comprehensive-improvement.md;qa/6-3-efficiency-ratios.md
igcse-accounting-0452,6.4,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/6-4-items.md;qa-question-level/Q-6.4-01-ratio-analysis-purpose.md;qa-question-level/Q-6.4-02-ratio-limitations.md;qa-question-level/Q-6.4-03-window-dressing.md;qa-question-level/Q-6.4-04-cross-industry-comparison.md;qa-question-level/Q-6.4-05-profit-vs-liquidity.md;qa-question-level/Q-6.4-06-non-financial-factors.md;qa-question-level/Q-6.4-07-business-strategy-comparison.md;qa-question-level/Q-6.4-08-lending-assessment.md;qa-question-level/Q-6.4-09-comprehensive-assessment.md;qa/6-4-ratio-interpretation.md
igcse-accounting-0452,7.1,19,C:6|F:7|S:6,"items,qa,qa-question-level",items/7-1-items.md;qa-question-level/Q-7.1-01-going-concern.md;qa-question-level/Q-7.1-02-prudence.md;qa-question-level/Q-7.1-03-accruals-matching.md;qa-question-level/Q-7.1-04-consistency.md;qa-question-level/Q-7.1-05-materiality.md;qa-question-level/Q-7.1-06-substance-over-form.md;qa-question-level/Q-7.1-07-policy-change-evaluation.md;qa-question-level/Q-7.1-08-concept-interaction.md;qa-question-level/Q-7.1-09-concept-violations.md;qa/7-1-concepts-application.md
igcse-accounting-0452,7.2,19,C:6|F:5|S:8,"items,qa,qa-question-level",items/7-2-items.md;qa-question-level/Q-7.2-01-capital-vs-revenue.md;qa-question-level/Q-7.2-02-capital-criteria.md;qa-question-level/Q-7.2-03-revenue-types.md;qa-question-level/Q-7.2-04-misclassification-effects.md;qa-question-level/Q-7.2-05-classification-examples.md;qa-question-level/Q-7.2-06-asset-cost-components.md;qa-question-level/Q-7.2-07-misclassification-profit-impact.md;qa-question-level/Q-7.2-08-property-development.md;qa-question-level/Q-7.2-09-comprehensive-classification.md;qa/7-2-capital-vs-revenue-expenditure.md
igcse-accounting-0452,7.3,19,C:6|F:5|S:8,"items,qa,qa-question-level",items/7-3-items.md;qa-question-level/Q-7.3-01-accounting-policy.md;qa-question-level/Q-7.3-02-reasons-for-change.md;qa-question-level/Q-7.3-03-FIFO-to-AVCO.md;qa-question-level/Q-7.3-04-depreciation-change.md;qa-question-level/Q-7.3-05-required-disclosures.md;qa-question-level/Q-7.3-06-vehicle-depreciation-change.md;qa-question-level/Q-7.3-07-depreciation-trend.md;qa-question-level/Q-7.3-08-price-trend-impact.md;qa-question-level/Q-7.3-09-multiple-changes.md;qa/7-3-policy-changes.md
igcse-accounting-0452,7.4,19,C:8|F:5|S:6,"items,qa,qa-question-level",items/7-4-items.md;qa-question-level/Q-7.4-01-fundamental-characteristics.md;qa-question-level/Q-7.4-02-enhancing-characteristics.md;qa-question-level/Q-7.4-03-delayed-reporting.md;qa-question-level/Q-7.4-04-complex-instruments.md;qa-question-level/Q-7.4-05-relevance-vs-faithful.md;qa-question-level/Q-7.4-06-historical-cost-vs-fair-value.md;qa-question-level/Q-7.4-07-lender-comparability.md;qa-question-level/Q-7.4-08-management-bias.md;qa-question-level/Q-7.4-09-relevance-vs-reliability.md;qa/7-4-information-quality.md
igcse-accounting-0452,7.5,19,C:8|F:5|S:6,"items,qa,qa-question-level",items/7-5-items.md;qa-question-level/Q-7.5-01-scenario-overview.md;qa-question-level/Q-7.5-02-trial-balance-adjustments.md;qa-question-level/Q-7.5-03-partnership-admission.md;qa-question-level/Q-7.5-04-manufacturing-account.md;qa-question-level/Q-7.5-05-ratio-comparison.md;qa-question-level/Q-7.5-06-complete-cycle.md;qa-question-level/Q-7.5-07-partnership-dissolution.md;qa-question-level/Q-7.5-08-policy-change-comparison.md;qa-question-level/Q-7.5-09-investment-appraisal.md;qa/7-5-comprehensive-scenario.md
